,created_at,last_move_at,white_rating,black_rating,opening_ply
0,1504210000000.0,1504210000000.0,1500,1191,5
1,1504130000000.0,1504130000000.0,1322,1261,4
2,1504130000000.0,1504130000000.0,1496,1500,3
3,1504110000000.0,1504110000000.0,1439,1454,3
4,1504030000000.0,1504030000000.0,1523,1469,5
5,1504240000000.0,1504240000000.0,1250,1002,4
6,1504230000000.0,1504230000000.0,1520,1423,10
7,1503680000000.0,1503680000000.0,1413,2108,5
8,1503510000000.0,1503510000000.0,1439,1392,6
9,1503440000000.0,1503440000000.0,1381,1209,4
10,1503350000000.0,1503350000000.0,1381,1272,1
11,1503350000000.0,1503350000000.0,1381,1867,9
12,1503350000000.0,1503350000000.0,1381,1936,3
13,1503340000000.0,1503340000000.0,1381,1607,2
14,1504090000000.0,1504100000000.0,1094,1141,8
15,1504090000000.0,1504090000000.0,1141,1094,7
16,1504090000000.0,1504090000000.0,1094,1141,8
17,1504010000000.0,1504010000000.0,1141,1094,8
18,1504010000000.0,1504010000000.0,1094,1300,5
19,1503760000000.0,1503760000000.0,1500,1094,2
20,1502950000000.0,1502950000000.0,1094,1676,6
21,1502950000000.0,1502950000000.0,1094,1068,2
22,1502950000000.0,1502950000000.0,1500,1094,3
23,1502950000000.0,1502950000000.0,1307,1106,4
24,1502860000000.0,1502860000000.0,1113,1423,3
25,1502780000000.0,1502780000000.0,1078,1219,4
26,1502780000000.0,1502780000000.0,1825,1079,8
27,1502780000000.0,1502780000000.0,1328,1038,4
28,1502780000000.0,1502780000000.0,1056,1156,4
29,1502780000000.0,1502780000000.0,1077,1148,4
30,1502780000000.0,1502780000000.0,1358,1036,3
31,1502780000000.0,1502780000000.0,1200,1002,6
32,1502780000000.0,1502780000000.0,1203,1019,3
33,1502720000000.0,1502720000000.0,1019,1500,6
34,1502430000000.0,1502430000000.0,1422,975,3
35,1502430000000.0,1502430000000.0,976,1832,4
36,1502430000000.0,1502430000000.0,1569,978,10
37,1502210000000.0,1502210000000.0,978,1500,2
38,1502210000000.0,1502210000000.0,1500,978,17
39,1502030000000.0,1502030000000.0,2449,978,3
40,1499700000000.0,1499700000000.0,1207,978,10
41,1499700000000.0,1499700000000.0,1241,978,3
42,1499620000000.0,1499620000000.0,1500,978,3
43,1499610000000.0,1499620000000.0,2443,978,17
44,1499330000000.0,1499330000000.0,1500,978,3
45,1499330000000.0,1499330000000.0,1500,978,3
46,1499330000000.0,1499330000000.0,978,1500,2
47,1499320000000.0,1499320000000.0,1343,978,3
48,1499010000000.0,1499010000000.0,2436,978,17
49,1498400000000.0,1498410000000.0,2436,978,4
50,1497980000000.0,1497980000000.0,978,1500,3
51,1497900000000.0,1497900000000.0,1500,978,4
